year,month,rank,net_worth,last_name,first_name,full_name,birth_date,age,gender,country_of_citizenship,country_of_residence,city_of_residence,business_category,business_industries,organization_name,position_in_organization,self_made,wealth_status,UID,age_category,listing_instance,birth_year,ca_updated,el_updated,early_life,career
2018,3,1867,1.2 B,Chen,Bo,Chen Bo,1971-01-01,47.0,Male,China,China,Wuzhong,Energy,Energy,,,True,,Chen Bo1971.0,41-50,First,1971.0,True,True,"Chen Bo may refer to:

Chen Bo (diplomat) (born 1970), Chinese diplomat
Chen Bo (footballer) (born 1989), Chinese footballer","Chen Bo may refer to:

Chen Bo (diplomat) (born 1970), Chinese diplomat
Chen Bo (footballer) (born 1989), Chinese footballer"
2017,3,1468,1.4 B,Chen,Dakui,Chen Dakui,1951-12-01,66.0,Male,China,China,Jiaxing,Manufacturing,Manufacturing,,,True,,Chen Dakui1951.0,60+,First,1951.0,True,True,page not found,page not found
2017,3,1161,1.8 B,Chen,Dejun,Chen Dejun,1970-06-06,47.0,Male,China,China,Shanghai,Logistics,Logistics,,,True,,Chen Dejun1970.0,41-50,First,1970.0,True,True,page not found,page not found
2010,3,297,3.2 B,Chen,Din Hwa,Chen Din Hwa,1923-01-01,87.0,Male,Hong Kong,,,Real Estate,Real Estate,,,False,Increased,Chen Din Hwa1923.0,60+,First,1923.0,True,True,"Chen Din-hwa OBE (simplified Chinese: 陈廷骅; traditional Chinese: 陳廷驊; pinyin: Chén Tínghuá; 1923 – 17 June 2012), was a Hong Kong industrial tycoon, billionaire and philanthropist. He was known as the ""King of Cotton Yarn"" in Hong Kong.","Chen Din-hwa OBE (simplified Chinese: 陈廷骅; traditional Chinese: 陳廷驊; pinyin: Chén Tínghuá; 1923 – 17 June 2012), was a Hong Kong industrial tycoon, billionaire and philanthropist. He was known as the ""King of Cotton Yarn"" in Hong Kong."
2017,3,973,2.1 B,Chen,Dongsheng,Chen Dongsheng,1957-12-01,60.0,Male,China,China,Beijing,Finance and Investments,Finance and Investments,,,True,,Chen Dongsheng1957.0,51-60,First,1957.0,True,True,page not found,page not found
2010,3,277,3.4 B,Chen,Fashu,Chen Fashu,1960-10-26,50.0,Male,China,China,Fuzhou,,Diversified,,,False,Increased,Chen Fashu1960.0,41-50,First,1960.0,True,True,"Chen Fashu (Chinese: 陈发树; born 1961) is a Chinese billionaire businessman, chairman of New Huada Group, a Chinese mining company.
He was born in Fujian province, and graduated from China Europe International Business School.As of July 2018, Forbes estimated his net worth at US$2.8 billion.On May 9, 2009 Anheuser-Busch InBev sold its remaining 7% of Tsingtao Brewery to Chen Fashu for $235 million.He is married, with four children, and lives in Fuzhou.


== References ==","Chen Fashu (Chinese: 陈发树; born 1961) is a Chinese billionaire businessman, chairman of New Huada Group, a Chinese mining company.
He was born in Fujian province, and graduated from China Europe International Business School.As of July 2018, Forbes estimated his net worth at US$2.8 billion.On May 9, 2009 Anheuser-Busch InBev sold its remaining 7% of Tsingtao Brewery to Chen Fashu for $235 million.He is married, with four children, and lives in Fuzhou.


== References =="
2021,4,2378,1.2 B,Chen,Gang,Chen Gang,1968-01-01,53.0,Male,China,China,Guangzhou,Energy,Energy,,,True,,Chen Gang1968.0,51-60,First,1968.0,True,True,"Chen Gang may refer to:

Chen Gang (intelligence officer) (1906–1967), early Communist intelligence officer
Chen Gang (composer) (born 1935), famous for the Butterfly Lovers' Violin Concerto
Chen Gang (born 1965), politician, party chief of Xiong'an New Area, Hebei
Chen Gang (born 1966), former politician, Vice Mayor of Beijing
Chen Gang (actor), Chinese film actor (Old Stone)
Chen Gang (1977–2011), lecturer who killed himself upon learning he did not win an election for a college Communist Youth League secretary position, see Suicide of Chen Gang
Gang Chen (engineer), past head of the Department of Mechanical Engineering at the Massachusetts Institute of Technology","Chen Gang may refer to:

Chen Gang (intelligence officer) (1906–1967), early Communist intelligence officer
Chen Gang (composer) (born 1935), famous for the Butterfly Lovers' Violin Concerto
Chen Gang (born 1965), politician, party chief of Xiong'an New Area, Hebei
Chen Gang (born 1966), former politician, Vice Mayor of Beijing
Chen Gang (actor), Chinese film actor (Old Stone)
Chen Gang (1977–2011), lecturer who killed himself upon learning he did not win an election for a college Communist Youth League secretary position, see Suicide of Chen Gang
Gang Chen (engineer), past head of the Department of Mechanical Engineering at the Massachusetts Institute of Technology"
2021,4,1833,1.7 B,Chen,Guoxiang,Chen Guoxiang,1951-01-01,70.0,Male,China,China,Hangzhou,Real Estate,Real Estate,,,True,,Chen Guoxiang1951.0,60+,First,1951.0,True,True,page not found,page not found
2016,3,1011,1.8 B,Chen,Hua,Chen Hua,1966-01-01,50.0,Male,China,China,Shenzhen,Real Estate,Real Estate,,,True,,Chen Hua1966.0,41-50,First,1966.0,True,True,"Chen Hua (born October 20, 1982) is a two-time Olympic swimmer, and former World Record holder, from China. She swam for China at the 2000 and 2004 Olympics. She was born in Hangzhou, Zhejiang, China.In December 2001, she set a short course World Record in the 800 freestyle, which stood for two months.She swam for China at the:

Olympics: 2000 and 2004
World Championships: 1998
Asian Games: 1998
World University Games: 2003
Short Course Worlds: 1999, 2000 and 2002


== References ==","Chen Hua (born October 20, 1982) is a two-time Olympic swimmer, and former World Record holder, from China. She swam for China at the 2000 and 2004 Olympics. She was born in Hangzhou, Zhejiang, China.In December 2001, she set a short course World Record in the 800 freestyle, which stood for two months.She swam for China at the:

Olympics: 2000 and 2004
World Championships: 1998
Asian Games: 1998
World University Games: 2003
Short Course Worlds: 1999, 2000 and 2002


== References =="
2019,3,1818,1.2 B,Chen,Huwen,Chen Huwen,1970-07-01,49.0,Male,China,China,Shanghai,Manufacturing,Manufacturing,,,True,,Chen Huwen1970.0,41-50,First,1970.0,True,True,page not found,page not found
2019,3,1818,1.2 B,Chen,Huxiong,Chen Huxiong,1970-07-01,49.0,Male,China,China,Shanghai,Manufacturing,Manufacturing,,,True,,Chen Huxiong1970.0,41-50,First,1970.0,True,True,page not found,page not found
2016,3,1694,1.0 B,Chen,Jiancheng,Chen Jiancheng,1959-01-13,57.0,Male,China,China,Shangyu,Manufacturing,Manufacturing,,,True,,Chen Jiancheng1959.0,51-60,First,1959.0,True,True,page not found,page not found
2016,3,1694,1.0 B,Chen,Jiangtao,Chen Jiangtao,1961-11-01,55.0,Male,China,China,Beijing,Technology,Technology,,,True,,Chen Jiangtao1961.0,51-60,First,1961.0,True,True,page not found,page not found
2011,3,420,2.7 B,Chen,Jianhua,Chen Jianhua,1971-01-01,40.0,Male,China,China,Wujiang,,Manufacturing,,,True,,Chen Jianhua1971.0,31-40,First,1971.0,True,True,"Chen Jianhua (Chinese: 陈建华; pinyin: Chén Jiànhuá; Cantonese: Chan Geen Wah; born March 1956) is a Chinese politician who currently serves as Chairman of the Guangzhou People's Congress. He formerly served as Mayor of Guangzhou. Chen was appointed acting mayor on 20 November 2011 following the resignation of Wan Qingliang, and elected mayor on 11 January 2012.Chen was born in Lufeng, Guangdong. He was at one point secretary to Guangdong party chief Xie Fei. He served as the party chief of Conghua while a member of the Guangzhou municipal Party Standing Committee, then head of the propaganda department of the Guangzhou party committee. He was then named party chief of Heyuan, before taking over as mayor of Guangzhou in 2011. On 26 January 2016, Chen Jianhua was elected the Chairman of the Standing Committee of the Guangzhou People's Congress.


== References ==","Chen Jianhua (Chinese: 陈建华; pinyin: Chén Jiànhuá; Cantonese: Chan Geen Wah; born March 1956) is a Chinese politician who currently serves as Chairman of the Guangzhou People's Congress. He formerly served as Mayor of Guangzhou. Chen was appointed acting mayor on 20 November 2011 following the resignation of Wan Qingliang, and elected mayor on 11 January 2012.Chen was born in Lufeng, Guangdong. He was at one point secretary to Guangdong party chief Xie Fei. He served as the party chief of Conghua while a member of the Guangzhou municipal Party Standing Committee, then head of the propaganda department of the Guangzhou party committee. He was then named party chief of Heyuan, before taking over as mayor of Guangzhou in 2011. On 26 January 2016, Chen Jianhua was elected the Chairman of the Standing Committee of the Guangzhou People's Congress.


== References =="
2018,3,2124,1.0 B,Chen,Jianming,Chen Jianming,1956-04-01,62.0,Male,China,China,Shanghai,Real Estate,Real Estate,,,True,,Chen Jianming1956.0,60+,First,1956.0,True,True,"Tan Kian Meng (simplified Chinese: 陈健铭; traditional Chinese: 陳健銘; pinyin: Chén Jiànmíng; Pe̍h-ōe-jī: Tân Kiān-bêng) is a Malaysian badminton player who specializes in the doubles events. He is currently playing with Lai Pei Jing in mixed doubles. Originally a singles player, he switched to play in the doubles events since August 2014 due to slow career progress.","Tan Kian Meng (simplified Chinese: 陈健铭; traditional Chinese: 陳健銘; pinyin: Chén Jiànmíng; Pe̍h-ōe-jī: Tân Kiān-bêng) is a Malaysian badminton player who specializes in the doubles events. He is currently playing with Lai Pei Jing in mixed doubles. Originally a singles player, he switched to play in the doubles events since August 2014 due to slow career progress."
2011,3,1140,1.0 B,Chen,Jianqiang,Chen Jianqiang,1958-07-01,53.0,Male,Hong Kong,Hong Kong,Hong Kong,Fashion and Retail,Fashion and Retail,,Entrepreneur,True,,Chen Jianqiang1958.0,51-60,First,1958.0,True,True,"Chen Jianqiang (Chinese: 陈建强) is a Chinese entrepreneur, the founder and chairman of Springland International. 
According to Hurun Report's China Rich List 2013, he was the 401st richest person in China, with a net worth of $780 million.","Chen Jianqiang (Chinese: 陈建强) is a Chinese entrepreneur, the founder and chairman of Springland International. 
According to Hurun Report's China Rich List 2013, he was the 401st richest person in China, with a net worth of $780 million."
2013,3,1342,1.0 B,Chen,Jinshi,Chen Jinshi,1962-10-16,51.0,Male,China,China,Nantong,Real Estate,Real Estate,,,True,,Chen Jinshi1962.0,51-60,First,1962.0,True,True,page not found,page not found
2015,3,1415,1.3 B,Chen,Jinsong,Chen Jinsong,1964-01-08,51.0,Male,Hong Kong,China,Shenzhen,Real Estate,Real Estate,,,True,,Chen Jinsong1964.0,51-60,First,1964.0,True,True,page not found,page not found
2010,3,828,1.2 B,Chen,Jinxia,Chen Jinxia,1968-03-28,42.0,Female,China,China,Shanghai,,Investments,,,False,,Chen Jinxia1968.0,41-50,First,1968.0,True,True,page not found,page not found
2021,4,1931,1.6 B,Chen,Kaichen,Chen Kaichen,,,Male,China,China,Guangzhou,Manufacturing,Manufacturing,,,True,,Chen Kaichennan,-,First,,True,True,page not found,page not found
2019,3,1281,1.8 B,Chen,Kaixuan,Chen Kaixuan,1958-05-01,61.0,Male,China,China,Guangzhou,Manufacturing,Manufacturing,,,True,,Chen Kaixuan1958.0,60+,First,1958.0,True,True,page not found,page not found
2013,3,1342,1.0 B,Chen,Lip Keong,Chen Lip Keong,1947-07-01,66.0,Male,Malaysia,Malaysia,Kuala Lumpur,Gambling & Casinos,Gambling and Casinos,,,True,,Chen Lip Keong1947.0,60+,First,1947.0,True,True,"Chen was born in 1948 in Kuala Lumpur, the capital of Malaysia. Chen was of Chinese ethnicity. Chen grew up in Kinta Valley, Malaysia.Chen graduated from University of Malaya.","Chen was born in 1948 in Kuala Lumpur, the capital of Malaysia. Chen was of Chinese ethnicity. Chen grew up in Kinta Valley, Malaysia.Chen graduated from University of Malaya."
2017,3,1376,1.5 B,Chen,Liying,Chen Liying,1975-10-30,42.0,Female,China,China,Shanghai,Logistics,Logistics,,,True,,Chen Liying1975.0,41-50,First,1975.0,True,True,"In 1906, Chen was born the fourth of 12 children—10 girls and 2 boys—in Zhejiang, China. Her father Zhang Renjie (Chang Sen Chek), was an antique dealer with businesses in Paris, London, and New York City. Due to her father's profession, Chen spent her childhood travelling between Paris and China with her family and attending high school in the US. Though living in the West, the Chang couple was deeply rooted to their Chinese heritage. Chen's father was a supporter of Sun Yat-sen, and provided financial support to Sun's anti-Qing revolutionary cause. Chen's mother only allowed her children to speak in Mandarin at home, while her father often brought the family along on his regular trips to China to support Sun's revolution, and to ensure that his children would not forget their own cultural identity.","In 1906, Chen was born the fourth of 12 children—10 girls and 2 boys—in Zhejiang, China. Her father Zhang Renjie (Chang Sen Chek), was an antique dealer with businesses in Paris, London, and New York City. Due to her father's profession, Chen spent her childhood travelling between Paris and China with her family and attending high school in the US. Though living in the West, the Chang couple was deeply rooted to their Chinese heritage. Chen's father was a supporter of Sun Yat-sen, and provided financial support to Sun's anti-Qing revolutionary cause. Chen's mother only allowed her children to speak in Mandarin at home, while her father often brought the family along on his regular trips to China to support Sun's revolution, and to ensure that his children would not forget their own cultural identity."
2013,3,1342,1.0 B,Chen,Miaolin,Chen Miaolin,1952-08-01,61.0,Male,China,China,Hangzhou,Service,Service,,,True,,Chen Miaolin1952.0,60+,First,1952.0,True,True,page not found,page not found
2017,3,1468,1.4 B,Chen,Nianci,Chen Nianci,1951-11-29,66.0,Male,China,China,Ningbo,Fashion & Retail,Fashion and Retail,,,True,,Chen Nianci1951.0,60+,First,1951.0,True,True,page not found,page not found
2016,3,1476,1.2 B,Chen,Qingzhou,Chen Qingzhou,1965-11-13,51.0,Male,China,China,Shenzhen,Telecom,Telecom,,,True,,Chen Qingzhou1965.0,51-60,First,1965.0,True,True,page not found,page not found
2021,4,1931,1.6 B,Chen,Qiongxiang,Chen Qiongxiang,,,Female,China,China,Ningde,Energy,Energy,,,True,,Chen Qiongxiangnan,-,First,,True,True,page not found,page not found
2017,3,1376,1.5 B,Chen,Qixing,Chen Qixing,1959-11-25,58.0,Male,China,China,Shenzhen,Technology,Technology,,,True,,Chen Qixing1959.0,51-60,First,1959.0,True,True,page not found,page not found
2020,4,1851,1.1 B,Chen,Rui,Chen Rui,1978-01-01,42.0,Male,China,China,Shanghai,Media & Entertainment,Media and Entertainment,,,True,,Chen Rui1978.0,41-50,First,1978.0,True,True,"Bilibili (stylized in all lowercase), nicknamed B Site, is a video-sharing website based in Shanghai where users can submit, view, and add overlaid commentary on videos. Bilibili hosts videos on various themes, including anime, music, dance, science and technology, movies, drama, fashion, and video games, but it is also known for its extensive kuso-style parodies by subcultural content creators. Since the mid-2010s, Bilibili began to expand to a broader audience from its original niche market that focused on animation, comics, and games (ACG), and it has become a major Chinese over-the-top streaming platform serving videos on demand such as documentaries, variety shows, and other original programming. Bilibili is known for its scrolling danmu (""bullet curtain,"" 弹幕) commenting system. Bilibili also provides a live streaming service where the audience can interact with streamers. Bilibili also offers games, mostly ACG-themed mobile games, such as the Chinese version of Fate/Grand Order. In the third quarter of 2022, the number of average monthly active users reached about 332.6 million, including 28.5 million paying users.","Bilibili (stylized in all lowercase), nicknamed B Site, is a video-sharing website based in Shanghai where users can submit, view, and add overlaid commentary on videos. Bilibili hosts videos on various themes, including anime, music, dance, science and technology, movies, drama, fashion, and video games, but it is also known for its extensive kuso-style parodies by subcultural content creators. Since the mid-2010s, Bilibili began to expand to a broader audience from its original niche market that focused on animation, comics, and games (ACG), and it has become a major Chinese over-the-top streaming platform serving videos on demand such as documentaries, variety shows, and other original programming. Bilibili is known for its scrolling danmu (""bullet curtain,"" 弹幕) commenting system. Bilibili also provides a live streaming service where the audience can interact with streamers. Bilibili also offers games, mostly ACG-themed mobile games, such as the Chinese version of Fate/Grand Order. In the third quarter of 2022, the number of average monthly active users reached about 332.6 million, including 28.5 million paying users."
2022,4,1818,1.6 B,Chen,Shibin,Chen Shibin,1966-11-01,56.0,Male,China,China,Lianyungang,Manufacturing,Manufacturing,,,True,,Chen Shibin1966.0,51-60,First,1966.0,True,True,page not found,page not found
2018,3,1999,1.1 B,Chen,Shiliang,Chen Shiliang,1963-12-01,55.0,Male,China,China,Tongxiang,Manufacturing,Manufacturing,,,True,,Chen Shiliang1963.0,51-60,First,1963.0,True,True,page not found,page not found
2019,3,1168,2.0 B,Chen,Tei-Fu,Chen Tei-fu,1948-04-19,71.0,Male,Taiwan,United States,Los Angeles,Fashion & Retail,Fashion and Retail,,Entrepreneur,True,,Chen Tei-fu1948.0,60+,First,1948.0,True,True,page not found,page not found
2010,3,828,1.2 B,Chen,Tianqiao,Chen Tianqiao,1973-01-01,37.0,Male,China,China,Shanghai,,Technology,,,False,,Chen Tianqiao1973.0,31-40,First,1973.0,True,True,"Chen was born in 1973 in a city in the Zhejiang Province, China. With his father working as an engineer and his mother teaching middle school English, Chen and his younger brother Danian grew up near Shanghai. In 1993 He earned a bachelor's degree in economics from Fudan University.","Chen was born in 1973 in a city in the Zhejiang Province, China. With his father working as an engineer and his mother teaching middle school English, Chen and his younger brother Danian grew up near Shanghai. In 1993 He earned a bachelor's degree in economics from Fudan University."
2021,4,1111,2.8 B,Chen,Tianshi,Chen Tianshi,1985-01-01,36.0,Male,China,China,Beijing,Technology,Technology,,,True,,Chen Tianshi1985.0,31-40,First,1985.0,True,True,page not found,page not found
2020,4,1196,1.8 B,Chen,Wenyuan,Chen Wenyuan,1968-01-01,52.0,Male,China,China,Suzhou,Technology,Technology,,,True,,Chen Wenyuan1968.0,51-60,First,1968.0,True,True,Bobo Chan Man-Woon is a former Hong Kong singer and model. She was also an actress in several film and TV-series.,Bobo Chan Man-Woon is a former Hong Kong singer and model. She was also an actress in several film and TV-series.
2022,4,1929,1.5 B,Chen,Xianbao,Chen Xianbao,1959-05-19,63.0,Male,China,China,Hefei,Food & Beverage,Food and Beverage,,,True,Remained Even,Chen Xianbao1959.0,60+,First,1959.0,True,True,page not found,page not found
2021,4,1299,2.4 B,Chen,Xiao Ying,Chen Xiao Ying,1963-05-01,58.0,Female,China,Hong Kong,Hong Kong,Healthcare,Healthcare,,,True,,Chen Xiao Ying1963.0,51-60,First,1963.0,True,True,page not found,page not found
2021,4,2035,1.5 B,Chen,Xiaohui,Chen Xiaohui,1971-01-01,50.0,Male,China,China,Shenzhen,Technology,Technology,,,True,,Chen Xiaohui1971.0,41-50,First,1971.0,True,True,page not found,page not found
2017,3,1234,1.7 B,Chen,Xiaoying,Chen Xiaoying,1976-08-10,41.0,Female,China,China,Shanghai,Logistics,Logistics,,,True,,Chen Xiaoying1976.0,41-50,First,1976.0,True,True,page not found,page not found
2017,3,1795,1.1 B,Chen,Xiaxin,Chen Xiaxin,1962-05-15,55.0,Male,China,China,Hangzhou,Diversified,Diversified,,,True,,Chen Xiaxin1962.0,51-60,First,1962.0,True,True,page not found,page not found
2021,4,1931,1.6 B,Chen,Xuehua,Chen Xuehua,1961-01-01,60.0,Male,China,China,Tongxiang,Metals & Mining,Metals and Mining,,,True,,Chen Xuehua1961.0,51-60,First,1961.0,True,True,page not found,page not found
2017,3,1290,1.6 B,Chen,Xueli,Chen Xueli,1951-01-01,66.0,Male,China,China,Weihai,Healthcare,Healthcare,,,True,,Chen Xueli1951.0,60+,First,1951.0,True,True,page not found,page not found
2021,4,1833,1.7 B,Chen,Xueling,Chen Xueling,1967-10-16,54.0,Female,China,China,Shantou,Manufacturing,Manufacturing,,,True,,Chen Xueling1967.0,51-60,First,1967.0,True,True,page not found,page not found
2016,3,1476,1.2 B,Chen,Yansheng,Chen Yansheng,1970-11-01,46.0,Male,China,China,Guangzhou,Diversified,Diversified,,,True,,Chen Yansheng1970.0,41-50,First,1970.0,True,True,page not found,page not found
2008,3,743,1.6 B,Chen,Yihong,Chen Yihong,1958-04-01,50.0,Male,China,China,Beijing,Fashion & Retail,Fashion and Retail,,,True,,Chen Yihong1958.0,41-50,First,1958.0,True,True,page not found,page not found
2023,4,2133,1.3 B,Chen,Yin,Chen Yin,1973-01-01,50.0,Male,China,China,Shanghai,Manufacturing,Manufacturing,,,True,,Chen Yin1973.0,41-50,First,1973.0,True,True,"Chen Yin may refer to:

Chen Yin (6th century) (born 573), crown prince of the Chinese Chen Dynasty
Chen Yin (swimmer) (born 1986), Chinese swimmer
Chen Yin (TV presenter), Chinese television program host","Chen Yin may refer to:

Chen Yin (6th century) (born 573), crown prince of the Chinese Chen Dynasty
Chen Yin (swimmer) (born 1986), Chinese swimmer
Chen Yin (TV presenter), Chinese television program host"
2013,3,1031,1.4 B,Chen,Yung-Tai,Chen Yung-Tai,1936-01-01,77.0,Male,Taiwan,Taiwan,Taipei,Real Estate,Real Estate,,,True,,Chen Yung-Tai1936.0,60+,First,1936.0,True,True,page not found,page not found
2019,3,1168,2.0 B,Chen,Yung-Tai,Chen Yung-tai,1936-01-20,83.0,Male,Taiwan,Taiwan,Taipei,Real Estate,Real Estate,,,True,Remained Even,Chen Yung-tai1936.0,60+,First,1936.0,True,True,page not found,page not found
2014,3,1540,1.05 B,Chen,Zemin,Chen Zemin,1943-01-01,71.0,Male,China,China,Zhengzhou,Food and Beverage,Food and Beverage,,,True,,Chen Zemin1943.0,60+,First,1943.0,True,True,"Chen Zemin (traditional Chinese: 陳則民; simplified Chinese: 陈则民; pinyin: Chén Zémín; Wade–Giles: Ch'ên Tsê-min; Chin Sokumin; 1881 — 1951) was a lawyer and politician in the pre-war Republic of China. He held a number of important posts in the collaborationist Reformed Government of the Republic of China, and Reorganized National Government of China.","Chen Zemin (traditional Chinese: 陳則民; simplified Chinese: 陈则民; pinyin: Chén Zémín; Wade–Giles: Ch'ên Tsê-min; Chin Sokumin; 1881 — 1951) was a lawyer and politician in the pre-war Republic of China. He held a number of important posts in the collaborationist Reformed Government of the Republic of China, and Reorganized National Government of China."
2021,4,121,15.9 B,Chen,Zhiping,Chen Zhiping,1976-01-01,45.0,Male,China,China,Shenzhen,Manufacturing,Manufacturing,,,True,,Chen Zhiping1976.0,41-50,First,1976.0,True,True,page not found,page not found
2020,4,1335,1.6 B,Chen,Zhisong,Chen Zhisong,1966-01-07,54.0,Male,China,China,Xiamen,Technology,Technology,,,True,,Chen Zhisong1966.0,51-60,First,1966.0,True,True,page not found,page not found
2019,3,2057,1.0 B,Chen,Zhuolin,Chen Zhuolin,1962-03-16,57.0,Male,China,China,Zhongshan,Real Estate,Real Estate,,,True,,Chen Zhuolin1962.0,51-60,First,1962.0,True,True,page not found,page not found
2017,3,1795,1.1 B,Chen,Zuyuan,Chen Zuyuan,,,Male,China,China,Shenzhen,Diversified,Diversified,,,True,,Chen Zuyuannan,-,First,,True,True,page not found,page not found
2021,4,2524,1.1 B,Cheng,Antares,Cheng Antares,1957-11-01,64.0,Male,Hong Kong,Hong Kong,Hong Kong,Food & Beverage,Food and Beverage,,,True,,Cheng Antares1957.0,60+,First,1957.0,True,True,page not found,page not found
2018,3,766,3.1 B,Cheng,Cheung Ling,Cheng Cheung Ling,1964-01-01,54.0,Female,China,Hong Kong,Hong Kong,Healthcare,Healthcare,,,True,,Cheng Cheung Ling1964.0,51-60,First,1964.0,True,True,page not found,page not found
2007,3,618,1.6 B,,,Cheng Fei Zhang,,40.0,,China,China,Dongguan,,Manufacturing,,,False,,Cheng Fei Zhang1967.0,31-40,First,1967.0,True,True,page not found,page not found
2020,4,1613,1.3 B,Cheng,Lili,Cheng Lili,1965-01-01,55.0,Male,China,China,Changzhou,Food & Beverage,Food and Beverage,,,True,,Cheng Lili1965.0,51-60,First,1965.0,True,True,page not found,page not found
2016,3,1694,1.0 B,Cheng,Wei,Cheng Wei,1983-01-01,33.0,Male,China,China,Beijing,Service,Service,,,True,,Cheng Wei1983.0,31-40,First,1983.0,True,True,"Cheng Wei (simplified Chinese: 程维; traditional Chinese: 程維; pinyin: Chéng Wéi; born 19 May 1983) is a Chinese  billionaire businessman. He is the founder, chairman and CEO of DiDi, a Chinese mobile transportation platform with global operations. In 2012, after eight years at Alibaba Group's regional and Alipay's operations, Cheng founded Beijing Xiaoju Technology Co Ltd in Zhongguancun.","Cheng Wei (simplified Chinese: 程维; traditional Chinese: 程維; pinyin: Chéng Wéi; born 19 May 1983) is a Chinese  billionaire businessman. He is the founder, chairman and CEO of DiDi, a Chinese mobile transportation platform with global operations. In 2012, after eight years at Alibaba Group's regional and Alipay's operations, Cheng founded Beijing Xiaoju Technology Co Ltd in Zhongguancun."
2016,3,1476,1.2 B,Cheng,Xianfeng,Cheng Xianfeng,1968-12-01,48.0,Male,China,China,Hefei,Healthcare,Healthcare,,,True,,Cheng Xianfeng1968.0,41-50,First,1968.0,True,True,page not found,page not found
2015,3,1712,1.05 B,Cheng,Xue,Cheng Xue,1970-02-26,45.0,Female,China,China,Foshan,Food and Beverage,Food and Beverage,,,True,,Cheng Xue1970.0,41-50,First,1970.0,True,True,page not found,page not found
2019,3,1057,2.2 B,Cheng,Yixiao,Cheng Yixiao,1984-01-01,35.0,Male,China,China,Beijing,Media & Entertainment,Media and Entertainment,,,True,,Cheng Yixiao1984.0,31-40,First,1984.0,True,True,page not found,page not found
2010,3,106,6.8 B,Cheng,Yu-tung,Cheng Yu-tung,1925-08-15,85.0,Male,Hong Kong,Hong Kong,Hong Kong,,Real Estate,,,False,Increased,Cheng Yu-tung1925.0,60+,First,1925.0,True,True,"Cheng was born in rural Shunde District in Guangdong, the son of a tailor, and fled to Macau in 1940, ahead of the advancing Japanese occupation force.  The goldsmith owner of the Chow Tai Fook store there took him on as an apprentice and he eventually married the boss's daughter.  They moved to Hong Kong in 1946 and opened the company's first store there.","Cheng was born in rural Shunde District in Guangdong, the son of a tailor, and fled to Macau in 1940, ahead of the advancing Japanese occupation force.  The goldsmith owner of the Chow Tai Fook store there took him on as an apprentice and he eventually married the boss's daughter.  They moved to Hong Kong in 1946 and opened the company's first store there."
2021,4,665,4.3 B,Ye,Chenghai,Chenghai Ye,1943-08-15,78.0,Male,Hong Kong,Hong Kong,Hong Kong,Healthcare,Healthcare,,,True,Increased,Chenghai Ye1943.0,60+,First,1943.0,True,True,page not found,page not found
2009,3,246,2.6 B,,,Chengjian Zhou,1965-04-30,44.0,,China,China,,,Retail,,,False,,Chengjian Zhou1965.0,41-50,First,1965.0,True,True,page not found,page not found
2021,4,2141,1.4 B,Hu,Chengzhong,Chengzhong Hu,1961-03-01,60.0,Male,China,China,Wenzhou,Manufacturing,Manufacturing,,,True,Increased,Chengzhong Hu1961.0,51-60,First,1961.0,True,True,page not found,page not found
2006,3,365,2.1 B,,,Cher Wang and Wenchi Chen,1958-01-01,48.0,,Taiwan,Taiwan,Taipei,,,,,False,,Cher Wang and Wenchi Chen1958.0,41-50,First,1958.0,True,True,page not found,page not found
2021,4,1299,2.4 B,Dube,Chetan,Chetan Dube,1966-01-05,55.0,Male,United States,United States,New York,Technology,Technology,,,True,,Chetan Dube1966.0,51-60,First,1966.0,True,True,page not found,page not found
2012,3,1153,1.0 B,Cheung,Yan,Cheung Yan,1957-02-01,55.0,Female,China,China,Dongguan,Manufacturing,Manufacturing,,,True,Decreased,Cheung Yan1957.0,51-60,First,1957.0,True,True,"Zhang Yin may refer to:

Zhang Yin (entrepreneur) (born 1957), Chinese entrepreneur
Zhang Yin (painter) (1761–1829), Chinese painter of the Qing Dynasty","Zhang Yin may refer to:

Zhang Yin (entrepreneur) (born 1957), Chinese entrepreneur
Zhang Yin (painter) (1761–1829), Chinese painter of the Qing Dynasty"
2015,3,1638,1.1 B,Chey,Ki-Won,Chey Ki-Won,1964-07-06,51.0,Female,South Korea,South Korea,Seoul,Technology,Technology,SK CandC,,False,,Chey Ki-Won1964.0,51-60,First,1964.0,True,True,page not found,page not found
2018,3,1650,1.4 B,Chey,Ki-won,Chey Ki-won,1964-07-06,54.0,Female,South Korea,South Korea,Seoul,Technology,Technology,SK CandC,,False,Increased,Chey Ki-won1964.0,51-60,First,1964.0,True,True,page not found,page not found
2010,3,880,1.1 B,Chey,Tae-Won,Chey Tae-Won,1960-12-03,50.0,Male,South Korea,South Korea,Seoul,,Diversified,,,False,Returned to List,Chey Tae-Won1960.0,41-50,First,1960.0,True,True,page not found,page not found
